Location,Price,Area_Type,Bedroom,Bathroom,Square_feet,Lot_Size,Year_Built
0,"19 Goldenrod Pl, Vernon Twp., NJ, 07418","$79,900",Single Family Residential,2,2,— Sq Ft,0.37 Acres,2023
1,"45 Aldine Shirley Rd, Elmer, NJ, 08318","$84,900",Vacant Land,—,—,1.00 Acre (Lot),1 Acre,2022
2,"1 Victory Ave #16, Pennsville, NJ, 08070","$94,900",Single Family Residential,2,1,896 Sq Ft,18.45 Acres,2021
3,"1205 Farrell Ave #4, Cherry Hill, NJ, 08002","$109,000",Single Family Residential,2,1,784 Sq Ft,"1,950 Sq. Ft.",2023
4,"1887 N Delsea Dr #8, Vineland, NJ, 08360","$114,900",Single Family Residential,2,1,832 Sq Ft,—,2022
5,"1887 N Delsea Dr #10, Vineland, NJ, 08360","$114,900",Single Family Residential,2,1,832 Sq Ft,—,2022
6,"4 Sterling Ct, East Windsor, NJ, 08520","$114,900",Single Family Residential,2,2,— Sq Ft,"1,000 Sq. Ft.",2023
7,"209 Stephen Kritz Ln Ln, Clarksboro, NJ, 08020","$122,668",Townhouse,2,1,850 Sq Ft,"4,000 Sq. Ft.",2023
8,"1887 N Delsea Dr #39, Vineland, NJ, 08360","$124,900",Single Family Residential,3,2,"1,056 Sq Ft",—,2021
9,"209 Shute Farm Ln, Clarksboro, NJ, 08020","$127,466",Townhouse,2,1,850 Sq Ft,"4,000 Sq. Ft.",2023
10,"8 Avenue D, Hazlet, NJ, 07730","$127,900","Single Family, Attached",2,1,— Sq Ft,—,2023
11,"1444 Princess Ave, Camden, NJ, 08103","$129,000",Townhouse,3,2,— Sq Ft,"2,801 Sq. Ft.",2023
12,"1231 Empire Ave, Camden, NJ, 08103","$129,000",Townhouse,3,2,— Sq Ft,"2,701 Sq. Ft.",2023
13,"2501 tilton road # Tilton Road #104, Egg Harbor Township, NJ, 08234","$129,900",Single Family Residential,3,2,"1,056 Sq Ft",—,2023
14,"1887 N Delsea Dr #21, Vineland, NJ, 08360","$137,900",Single Family Residential,3,2,"1,120 Sq Ft",—,2021
15,"18 John St, Hazlet, NJ, 07730","$139,900","Single Family, Attached",2,1,— Sq Ft,—,2023
16,"Lot #00024 Central Ave, Pittsgrove, NJ, 08318","$144,000",Ranch,—,—,— Sq Ft,4.56 Acres,2022
17,"191 Us Highway 9, Englishtown, NJ, 07726","$149,900","Adult Community, Detached",2,1,— Sq Ft,2.9 Acres,2023
18,"1 Victory Ave #73, Pennsville, NJ, 08070","$153,900",Single Family Residential,3,2,"1,056 Sq Ft",18.45 Acres,2022
19,"5604 Briarwood Dr, Millville, NJ, 08332","$259,000",Single Family Residential,3,2,— Sq Ft,"10,102 Sq. Ft.",2022
20,"175 Delaware Dr, Pennsville, NJ, 08070","$259,900",Single Family Residential,3,2,"1,040 Sq Ft","10,018 Sq. Ft.",2022
21,"0 Greenwich Rd, Bridgeton, NJ, 08302","$294,999",Single Family Residential,3,2,"1,320 Sq Ft",1.45 Acres,2023
22,"429 Quigley Ave, Vineland, NJ, 08360","$299,900",Single Family Residential,3,2.5,"1,446 Sq Ft",0.32 Acres,2022
23,"11 Morongo Ct, Toms River, NJ, 08757","$300,000","Adult Community, Detached",2,2,— Sq Ft,"5,227 Sq. Ft.",2023
24,"62 Gasko Rd, Mays Landing, NJ, 08330","$314,900",Single Family,2,2, Sq Ft,"3,920 Sq. Ft.",2023
25,"64 Gasko Rd, Mays Landing, NJ, 08330","$314,900",Single Family,2,2, Sq Ft,"3,920 Sq. Ft.",2023
26,"90 Gasko Rd, Mays Landing, NJ, 08330","$319,900",Single Family,2,2, Sq Ft,"4,356 Sq. Ft.",2023
27,"1084 New Peach St, Vineland, NJ, 08360","$340,000",Single Family Residential,3,2.5,— Sq Ft,0.42 Acres,2023
28,"21 E Jones Ave, Edgewater Park, NJ, 08010","$344,990",Townhouse,3,2.5,"1,575 Sq Ft","2,039 Sq. Ft.",2023
29,"15 Senators Way, Berlin, NJ, 08009","$345,900",Single Family Residential,2,2,"1,183 Sq Ft","6,050 Sq. Ft.",2022
30,"270 West Ave, Bridgeton, NJ, 08302","$349,900",Single Family Residential,3,2.5,— Sq Ft,0.65 Acres,2023
31,"103 Fischer Ct, Rockaway Twp., NJ, 07866","$349,900",Townhouse,1,1,914 Sq Ft,—,2021
32,"117 Mazzeo Dr, Glassboro, NJ, 08028","$349,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
33,"375 Bailey St, Woodstown, NJ, 08098","$350,000",Single Family Residential,3,2,"1,300 Sq Ft",0.51 Acres,2023
34,"133 Mazzeo Dr, Glassboro, NJ, 08028","$353,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
35,"10 Panmure Way, Williamstown, NJ, 08094","$354,900",Townhouse,2,2,"1,567 Sq Ft","3,443 Sq. Ft.",2022
36,"129 Mazzeo Dr, Glassboro, NJ, 08028","$354,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
37,"137 Mazzeo Dr, Glassboro, NJ, 08028","$355,990",Townhouse,3,2.5,— Sq Ft,"2,178 Sq. Ft.",2023
38,"141 Mazzeo Dr, Glassboro, NJ, 08028","$358,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
39,"107 Tomahawk Ter, Montague Twp., NJ, 07827","$359,000",Single Family Residential,3,2,— Sq Ft,0.44 Acres,2022
40,"4 Mill Creek Ct, Bayville, NJ, 08721","$359,000",Townhouse,2,2.5,"1,732 Sq Ft",—,2023
41,"10 Mill Creek Ct, Bayville, NJ, 08721","$359,000",Townhouse,2,2.5,"1,732 Sq Ft",—,2023
42,"6 Mill Creek Ct, Bayville, NJ, 08721","$359,000",Townhouse,2,2.5,"1,732 Sq Ft",—,2023
